ratio_routed,low_path,hi_path,mid_path
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,5.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,1.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.250000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,1.500000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,1.750000000000000227e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,2.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,2.035714285714285552e+03,2.142857142857143060e+02,0.000000000000000000e+00
1.000000000000000056e-01,2.055555555555555202e+03,4.444444444444443434e+02,0.000000000000000000e+00
1.100000000000000006e-01,2.062500000000000000e+03,6.875000000000000000e+02,0.000000000000000000e+00
1.199999999999999956e-01,2.076923076923077133e+03,9.230769230769230944e+02,0.000000000000000000e+00
1.300000000000000044e-01,2.106719367588932982e+03,1.143280632411067472e+03,0.000000000000000000e+00
1.400000000000000133e-01,2.155797101449275942e+03,1.344202898550724740e+03,0.000000000000000000e+00
1.499999999999999944e-01,2.211538461538461888e+03,1.538461538461538566e+03,0.000000000000000000e+00
1.600000000000000033e-01,2.245614035087719458e+03,1.614035087719298190e+03,1.403508771929824377e+02
1.700000000000000122e-01,2.252525634606673066e+03,1.626846034025420295e+03,3.706283313679065259e+02
1.799999999999999933e-01,2.260978237680208622e+03,1.638940751242230363e+03,6.000810110775618114e+02
1.900000000000000022e-01,2.259020128410985308e+03,1.638415509186834697e+03,8.525643624021798814e+02
2.000000000000000111e-01,2.261294666390337625e+03,1.639882794334041591e+03,1.098822539275621011e+03
2.099999999999999922e-01,2.264300340001483164e+03,1.637971309901894756e+03,1.347728350096622080e+03
2.200000000000000011e-01,2.260715035113034901e+03,1.642131364144602685e+03,1.597153600742362187e+03
2.300000000000000100e-01,2.261555786785154851e+03,1.641124800323132831e+03,1.847319412891712545e+03
2.399999999999999911e-01,2.263617144809428737e+03,1.638044081650702765e+03,2.098338773539868725e+03
2.500000000000000000e-01,2.261080228372919009e+03,1.647971578903436921e+03,2.340948192723644297e+03
