LINK,A,B,a0,a1,a2,a3,a4
0,1,2,1.38,0,0,0,3.312
1,1,7,1.15,0,0,0,2.76
2,2,3,1.38,0,0,0,3.312
3,2,8,1.14,0,0,0,2.736
4,3,4,1.68,0,0,0,4.032
5,3,9,1.13,0,0,0,2.712
6,4,5,1.26,0,0,0,3.024
7,4,10,1.05,0,0,0,2.52
8,5,6,2.25,0,0,0,5.4
9,5,11,1.04,0,0,0,2.496
10,6,12,1.09,0,0,0,2.616
11,7,1,1.15,0,0,0,2.76
12,7,8,0.48,0,0,0,0.0018432
13,7,13,0.36,0,0,0,0.864
14,8,2,1.14,0,0,0,2.736
15,8,9,0.48,0,0,0,0.0018432
16,8,14,0.39,0,0,0,0.936
17,9,3,1.13,0,0,0,2.712
18,9,10,0.58,0,0,0,0.0022272
19,9,15,0.38,0,0,0,0.912
20,10,4,1.05,0,0,0,2.52
21,10,11,0.43,0,0,0,0.0016512
22,10,16,0.48,0,0,0,1.152
23,11,5,1.04,0,0,0,2.496
24,11,12,0.77,0,0,0,0.0029568
25,11,17,0.50,0,0,0,1.2
26,12,6,1.09,0,0,0,2.616
27,12,18,0.47,0,0,0,1.128
28,13,7,0.36,0,0,0,0.864
29,13,14,1.38,0,0,0,3.312
30,14,8,0.39,0,0,0,0.936
31,14,15,1.38,0,0,0,3.312
32,15,9,0.38,0,0,0,0.912
33,15,16,1.68,0,0,0,4.032
34,16,10,0.48,0,0,0,1.152
35,16,17,1.25,0,0,0,3.0
36,17,11,0.50,0,0,0,1.2
37,17,18,2.22,0,0,0,5.328
38,18,12,0.47,0,0,0,1.128
39,12,20,0.22,0,0,0,0.0008448
40,19,7,0.29,0,0,0,0.0011136
